,Calinski-Harabasz,Silhouette FAMD,Silouhette Gower,Davies-Bouldin
ClustMD,296.33006748376766,0.39487794142494104,0.52140105,1.07136081812709
DenseClus,295.22427106459514,0.39365277690536243,0.51907605,1.0744407882654132
Phillip & Ottaway,290.55689313524397,0.38949182725470255,0.5146062,1.0838631817227753
Kamila,296.33006748376766,0.39487794142494104,0.52140105,1.07136081812709
K-Prototypes,296.33006748376766,0.39487794142494104,0.52140105,1.07136081812709
MixtComp,294.9061840177146,0.39383121605643545,0.5188352,1.075893948880443
Modha-Spangler,296.33006748376766,0.39487794142494104,0.52140105,1.07136081812709
Pretopo-FAMD,36.390285517503116,0.073593192099583,0.06562392,1.315524419372731
Pretopo-UMAP,293.83530066202434,0.3922179829294038,0.51698506,1.0783562621948437
Pretopo-PaCMAP,131.33589015494292,0.17712593221953932,0.17343238,1.5913151174441666
PretopoMD,127.33853278265556,0.2304206419456362,0.30821437,1.50818541062099
